Year,CPUE_1
1948,88.20734609
1949,56.48903443
1950,51.55403441
1951,72.06033898
1952,95.55236189
1953,87.76060034
1954,95.69191041
1955,154.4651159
1956,91.69537843
1957,114.4027237
1958,64.561298
1959,55.65307657
1960,102.7778743
1961,114.9987221
1962,177.1825159
1963,125.8613253
1964,114.1661533
1965,120.525657
1966,120.6917425
1967,108.3650317
1968,99.21704444
1969,94.74917015
1970,81.02248384
1971,75.13771698
1972,88.43895675
1973,75.03977909
1974,81.9573122
1975,76.91456342
1976,51.4033427
1977,52.5876066
1978,82.96740401
1979,87.38467361
1980,69.77296484
1981,68.37182275
1982,59.29342836
1983,59.2485325
1984,48.49198524
1985,60.62059093
1986,64.9679915
1987,83.76251062
1988,80.23674964
1989,71.87075907
1990,64.68462942
1991,61.96633909
1992,66.83627481
1993,60.396957
1994,68.34920601
1995,68.00865958
1996,64.46197238
1997,65.49491482
1998,65.80292816
1999,65.14064131
2000,72.77218622
2001,72.67596235
2002,68.34707933
2003,61.69271612
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
