Year,Catch,UnrepCatch
1948,0.2092279,0.323745337
1949,0.35956008,0.531008328
1950,0.30468729,0.475454032
1951,0.32125165,0.505885085
1952,0.30055489,0.4616831
1953,0.25807561,0.402925755
1954,0.27127691,0.405435634
1955,0.223367,0.33052428
1956,0.28135482,0.429084999
1957,0.31805927,0.538456517
1958,0.21107285,0.352360649
1959,0.20409194,0.312978256
1960,0.162957,0.26591819
1961,0.13001885,0.209186461
1962,0.16760452,0.27934178
1963,0.21108541,0.349412764
1964,0.20261104,0.339995466
1965,0.21083697,0.374634609
1966,0.18272967,0.285438933
1967,0.23135416,0.429480487
1968,0.19563955,0.328913562
1969,0.1774703,0.315607785
1970,0.15884239,0.270671087
1971,0.1352546,0.230499518
1972,0.22920123,0.423271433
1973,0.169362,0.32582741
1974,0.2262185,0.45906073
1975,0.22383796,0.415292243
1976,0.26569823,0.419674412
1977,0.27821901,0.440264739
1978,0.31034723,0.562461138
1979,0.27399601,0.514078093
1980,0.24455257,0.494710632
1981,0.30838351,0.639900557
1982,0.3294727,0.60916696
1983,0.41067148,0.781505238
1984,0.34385885,0.589784054
1985,0.48502003,0.764168386
1986,0.50980763,0.734727803
1987,0.57977181,0.954244194
1988,0.56699575,1.03582264
1989,0.55935571,1.045250474
1990,0.45667038,0.764286641
1991,0.3253611,0.515614604
1992,0.35984638,0.611784362
1993,0.2539031,0.462412391
1994,0.30784372,0.585270465
1995,0.33762798,0.638629742
1996,0.27434421,0.491505169
1997,0.29973765,0.550389881
1998,0.29683814,0.484595742
1999,0.21485725,0.313681735
2000,0.30870944,0.441510837
2001,0.26103939,0.308820979
2002,0.21284536,0.22204507
2003,0.24474086,0.270079282
2004,0.20599494,0.190831938
2005,0.24397304,0.226072576
2006,0.19002951,0.165567569
2007,0.2219437,0.199934228
2008,0.1965409,0.20518442
2009,0.25524239,0.283130416
2010,0.2123415,0.226317538
2011,0.27355758,0.312694624
2012,0.21682488,0.228396666
2013,0.23224035,0.213111972
2014,0.30941142,0.343125964
2015,0.3099461,0.330433472
2016,0.26426777,0.293288987
2017,0.2383534,0.285269513
2018,0.23976067,0.254115251
