Year,CPUE_1_rel_CV,CPUE_2_rel_CV
1948,2.699377345,2.699377345
1949,2.234647348,2.234647348
1950,1.997320743,1.997320743
1951,2.156858849,2.156858849
1952,2.596754841,2.596754841
1953,2.943632682,2.943632682
1954,3.35571277,3.35571277
1955,3.551512795,3.551512795
1956,3.647759395,3.647759395
1957,3.030284585,3.030284585
1958,2.929637576,2.929637576
1959,3.687432276,3.687432276
1960,2.440618932,2.440618932
1961,3.441328418,3.441328418
1962,3.166983776,3.166983776
1963,3.437232524,3.437232524
1964,3.488941878,3.488941878
1965,3.30866408,3.30866408
1966,3.186139903,3.186139903
1967,2.379370313,2.379370313
1968,2.756254153,2.756254153
1969,2.787789606,2.787789606
1970,3.087050066,3.087050066
1971,2.749559557,2.749559557
1972,2.478778003,2.478778003
1973,2.469006738,2.469006738
1974,1.941893779,1.941893779
1975,2.01047833,2.01047833
1976,1,1
1977,1.820892709,1.820892709
1978,2.23751131,2.23751131
1979,2.656177094,2.656177094
1980,2.148468172,2.148468172
1981,1.853092235,1.853092235
1982,1.529919858,1.529919858
1983,1.238856137,1.238856137
1984,1.344453022,1.344453022
1985,1.194891463,1.194891463
1986,1.180805162,1.180805162
1987,1.104627819,1.104627819
1988,1.072803073,1.072803073
1989,1.041055451,1.041055451
1990,1.252645137,1.252645137
1991,1.291019224,1.291019224
1992,1.364782692,1.364782692
1993,1.480708104,1.480708104
1994,1.498423567,1.498423567
1995,1.499761972,1.499761972
1996,1.512719241,1.512719241
1997,1.419689708,1.419689708
1998,1.414014202,1.414014202
1999,1.553169524,1.553169524
2000,1.376779213,1.376779213
2001,1.533973103,1.533973103
2002,1.675089211,1.675089211
2003,3.753187477,1.23653124
2004,1.202143664,1.202143664
2005,1.193144647,1.193144647
2006,1.389583147,1.389583147
2007,1.342508528,1.342508528
2008,1.246666842,1.246666842
2009,1.048915102,1.048915102
2010,1.264006838,1.264006838
2011,1.220535487,1.220535487
2012,1.24086415,1.24086415
2013,1.124473031,1.124473031
2014,1,1
2015,1.038269053,1.038269053
2016,1.461328864,1.461328864
2017,1.560678139,1.560678139
2018,2.378823683,2.378823683
