"","Median","LCI","UCI","Geweke.p","Heidel.p","Mean"
"K",31.219943,19.249997,58.273278,0.261,0.367,32.958034
"r",0.107786,0.069298,0.167985,0.904,0.182,0.11067
"q.1",5.080581,2.479698,8.482842,0.88,0.599,5.154772
"q.2",0.65177,0.277902,1.412453,0.276,0.168,0.702841
"q.3",195.519248,30.694873,1167.33189,0.036,0.157,303.082651
"psi",0.501745,0.355162,0.693034,0.606,0.428,0.508498
"sigma2",0.021297,0.011472,0.038476,0.797,0.724,0.022381
"tau2.1",0.078224,0.05238,0.124944,0.355,0.385,0.080628
"tau2.2",0.167874,0.087138,0.387782,0.108,0.513,0.186878
"tau2.3",0.718535,0.263644,1.084232,0.474,0.561,0.704361
"m",2,2,2,NA,NA,2
"rad",20.174394,8.25654,50.916944,0.31,0.571,22.567322
