"","index","year","residual"
"1","CPUE_1",1948,0.679553581452326
"2","CPUE_1",1949,-0.702014338571077
"3","CPUE_1",1950,-1.00109784225171
"4","CPUE_1",1951,-0.0951118180877335
"5","CPUE_1",1952,0.582001085241685
"6","CPUE_1",1953,0.102782980450773
"7","CPUE_1",1954,0.165575967857222
"8","CPUE_1",1955,1.62429187495095
"9","CPUE_1",1956,-0.0677926418295304
"10","CPUE_1",1957,0.837500742193099
"11","CPUE_1",1958,-0.864913271105539
"12","CPUE_1",1959,-1.36825450909527
"13","CPUE_1",1960,0.357471977246948
"14","CPUE_1",1961,0.380930959288407
"15","CPUE_1",1962,1.57707346165254
"16","CPUE_1",1963,0.412635239716549
"17","CPUE_1",1964,0.16098767077828
"18","CPUE_1",1965,0.4019853882604
"19","CPUE_1",1966,0.502154584833795
"20","CPUE_1",1967,0.280823393770507
"21","CPUE_1",1968,0.184027416144903
"22","CPUE_1",1969,0.215386837434842
"23","CPUE_1",1970,-0.115883273782431
"24","CPUE_1",1971,-0.243027456348675
"25","CPUE_1",1972,0.36748809746772
"26","CPUE_1",1973,-0.0281401851212207
"27","CPUE_1",1974,0.360104449977723
"28","CPUE_1",1975,0.332996881097874
"29","CPUE_1",1976,-0.836844184751765
"30","CPUE_1",1977,-0.742149980895307
"31","CPUE_1",1978,0.650375660055167
"32","CPUE_1",1979,0.771072875875561
"33","CPUE_1",1980,0.0820178331549578
"34","CPUE_1",1981,0.125376418974012
"35","CPUE_1",1982,-0.211401109002621
"36","CPUE_1",1983,-0.116775387114385
"37","CPUE_1",1984,-0.731230887776988
"38","CPUE_1",1985,-0.115076992704595
"39","CPUE_1",1986,-0.0639541392273118
"40","CPUE_1",1987,0.647140581150375
"41","CPUE_1",1988,0.497665054250684
"42","CPUE_1",1989,0.2299197306123
"43","CPUE_1",1990,0.0726283513055041
"44","CPUE_1",1991,0.0143461136094697
"45","CPUE_1",1992,0.221168211181989
"46","CPUE_1",1993,-0.0807479048352169
"47","CPUE_1",1994,0.269887348704164
"48","CPUE_1",1995,0.240235575286915
"49","CPUE_1",1996,0.0709424723998542
"50","CPUE_1",1997,0.110048811737659
"51","CPUE_1",1998,0.124328456856784
"52","CPUE_1",1999,0.0776749905216995
"53","CPUE_1",2000,0.385903863959395
"54","CPUE_1",2001,0.387435188099856
"55","CPUE_1",2002,0.242799151283839
"56","CPUE_1",2003,-0.0629545038881714
