"Year","Biomass","B.Bmsy","ProbabilityStockOverfished","H","H.Hmsy","ProbabilityOverfishing","ProbabilityOverfishedOverfishing"
1948,15.1862986261448,0.977674169233156,0.0111,0.0351359331836981,0.651956011947463,0.0454,0.0105
1949,14.2627138418376,0.924034323285203,0.0262,0.0622271241078589,1.15463982289056,0.218,0.0262
1950,14.1377423576521,0.921642994656184,0.0309,0.0547482014310206,1.01586654550064,0.1798,0.0308
1951,15.3646995103252,0.997380141378021,0.018,0.0534673565050286,0.992100148134528,0.1628,0.018
1952,16.7495392966299,1.09565088203311,0.0097,0.0450473193103681,0.835864255916155,0.0992,0.0097
1953,17.6907720705453,1.15403855638465,0.0065,0.0368911495729425,0.684524490241574,0.0495,0.0063
1954,18.8669593214648,1.23819613852195,0.0043,0.0355742042703832,0.660088241375759,0.0373,0.0042
1955,20.1717228546059,1.3275534796479,0.0027,0.0272381419640737,0.505410524175162,0.0086,0.0025
1956,19.246827625663,1.2606064814839,0.0026,0.0365467048377824,0.678133232189676,0.0383,0.0025
1957,18.6462561137332,1.22465182859212,0.0039,0.0454189829209772,0.842760566997231,0.0924,0.0039
1958,16.9511764657268,1.11105958307956,0.0094,0.0327530825807292,0.607741624128131,0.0355,0.0089
1959,16.8516704342231,1.11345319866938,0.0115,0.0300071660184243,0.556790456793506,0.0249,0.0107
1960,19.1112745978739,1.25437761752418,0.0035,0.0220531666705292,0.409202013168721,0.0029,0.0022
1961,21.4189910641435,1.40673951057632,0.0017,0.0156157408798443,0.289753970512211,0.0001,0.0005
1962,23.4774820712633,1.55097590812664,0.0003,0.0188101975931717,0.349027912327595,0.0002,0.0002
1963,23.0961971805313,1.52569842738746,0.0008,0.0240240683993033,0.445772586783886,0.0024,0.0008
1964,22.5739325107281,1.48744356244138,0.0006,0.0238223314998546,0.442029308250779,0.0029,0.0006
1965,22.2367261107373,1.46204032529348,0.0011,0.0261657717936328,0.485512427944251,0.0051,0.001
1966,21.7364263199912,1.42050095165113,0.0012,0.021382033238334,0.396748964785148,0.0016,0.001
1967,20.6709772007263,1.3635302399359,0.0015,0.0315369952221413,0.585176819592,0.0183,0.0014
1968,19.3437223623715,1.27640891705376,0.0029,0.0266412003198876,0.494334122940159,0.008,0.0027
1969,18.4048920393301,1.21085484681692,0.0047,0.0265790553527143,0.4931810075597,0.0085,0.0041
1970,17.3653554935825,1.13753813602028,0.0086,0.0245369850238823,0.455289882803142,0.0073,0.0062
1971,16.6397389882223,1.0867673716958,0.0114,0.0218388267395009,0.405224882238295,0.0039,0.0059
1972,16.4816307923653,1.07429693239667,0.0121,0.0393734417821881,0.730584041891078,0.0642,0.0118
1973,15.6477199301912,1.02494615133065,0.0182,0.0313580651225024,0.581856726923106,0.0289,0.017
1974,15.3129980588489,0.996655057963738,0.02,0.0443444193927974,0.822821772465902,0.112,0.0199
1975,14.447154447726,0.938650378746274,0.0286,0.0437614629049922,0.812004869298956,0.1116,0.0282
1976,13.3538204323856,0.875475252447382,0.0493,0.0503533383662678,0.934318764151805,0.162,0.049
1977,13.3555591423614,0.875998707196206,0.0477,0.0530721696621234,0.984767357605596,0.1745,0.0474
1978,14.2886857016938,0.926747325836381,0.0304,0.0604369473125966,1.12142264553488,0.2077,0.0303
1979,14.5107756923631,0.946318245479368,0.0289,0.0536035439101449,0.994627139435794,0.1706,0.0288
1980,14.0172204603551,0.91501664705485,0.0341,0.0523992627115911,0.972281401146516,0.1677,0.0336
1981,13.6414639154988,0.887759774435249,0.0424,0.0694759228390161,1.28914309301767,0.2414,0.0423
1982,12.9072570153171,0.840733309805527,0.0568,0.0717834462329162,1.33195976566721,0.25,0.0568
1983,12.666245199793,0.826575470949251,0.0679,0.093232307482501,1.7299487408848,0.2845,0.0679
1984,12.2575965525335,0.801812340438659,0.0803,0.0752968511178061,1.39715187043169,0.2609,0.0803
1985,12.9808823930351,0.843354524773106,0.0572,0.0957620137609289,1.77688807242496,0.2861,0.0572
1986,13.640193764743,0.886402306546693,0.0409,0.0910473971598097,1.68940718438203,0.2806,0.0409
1987,14.4715631299608,0.941174163637311,0.0279,0.105791347571827,1.96298486512026,0.2915,0.0279
1988,14.3763577261869,0.937224976221265,0.028,0.110139047927203,2.0436575306224,0.2924,0.028
1989,13.7781382839202,0.899943763081352,0.0373,0.115057819024918,2.13492655631705,0.2942,0.0373
1990,13.0292628510461,0.850699561357592,0.0564,0.09211615656005,1.70923828187043,0.2817,0.0564
1991,12.679756329982,0.827074644657689,0.0639,0.0662284614401087,1.22888563602867,0.2368,0.0639
1992,12.8943443179679,0.842384445924713,0.0594,0.0751393613142446,1.39422960780911,0.2578,0.0594
1993,12.6808591360806,0.838833677905847,0.0642,0.055744610784688,1.03435516981262,0.1956,0.0641
1994,13.0598746988419,0.857939720171036,0.055,0.0678685464943658,1.25931782365943,0.2421,0.055
1995,13.2068177996718,0.860679256952404,0.0526,0.073769791553108,1.36881689897664,0.2526,0.0526
1996,12.9539041455094,0.85635389419639,0.059,0.0584575418563844,1.08469428313414,0.2022,0.0587
1997,13.0416437511893,0.858002575705862,0.0543,0.0640811686029637,1.18904208136145,0.2251,0.0542
1998,13.0583347164165,0.856287851860551,0.054,0.059362995608647,1.10149520355488,0.2087,0.054
1999,13.1790793035018,0.861526986844544,0.0565,0.0397185515979459,0.736987640679504,0.0879,0.0534
