"","Median","LCI","UCI","Geweke.p","Heidel.p","Mean"
"K",25.676345,16.550458,46.294037,0.893,0.489,27.21095
"r",0.103317,0.067595,0.157498,0.237,0.279,0.105625
"q.1",6.075881,3.100448,9.354658,0.63,0.642,6.120839
"q.2",0.738632,0.326271,1.447655,0.016,0.327,0.780537
"q.3",128.16671,19.117424,801.954403,0.348,0.526,201.623297
"psi",0.501335,0.364378,0.691982,0.107,0.097,0.50886
"sigma2",0.021633,0.011515,0.038826,0.504,0.218,0.022558
"tau2.1",0.077535,0.050751,0.121805,0.11,0.274,0.080247
"tau2.2",0.17085,0.085383,0.393692,0.999,0.848,0.188286
"tau2.3",0.711959,0.267698,1.072924,0.25,0.096,0.700544
"m",1.001,1.001,1.001,NA,NA,1.001
"rad",24.917683,9.961404,64.517958,0.714,0.891,27.832722
