"","Median","LCI","UCI"
"K",26.537463,16.79867,44.88246
"r",0.101542,0.064737,0.157298
"q.1",5.804259,3.153501,9.269287
"sigma.proc",0.84,0.592,1.202
"psi",0.506502,0.363595,0.705495
"sigma2",0.021433,0.01147,0.038953
"tau2.1",0.077507,0.051272,0.121137
"tau2.2",0.167385,0.087322,0.400717
"m",1.001,1.001,1.001
"Hmsy",0.101,0.065,0.157
"SBmsy",9.767,6.183,16.52
"MSY",0.992,0.639,1.644
"P1948",0.491,0.334,0.695
"P2018",0.619,0.286,0.972
"B_Bmsy.cur",1.681,0.776,2.64
"H_Hmsy.cur",0.297,0.142,0.771
