"Year","Biomass","B.Bmsy","ProbabilityStockOverfished","H","H.Hmsy","ProbabilityOverfishing","ProbabilityOverfishedOverfishing"
1948,13.2554125938835,0.956113468856299,0.019,0.0400371724263984,0.737875679561068,0.0705,0.0177
1949,12.4085268024082,0.900413147360665,0.0387,0.0711251332257907,1.31081949179429,0.2549,0.0386
1950,12.0475061662928,0.87192448891454,0.0522,0.0643590056364134,1.18612135028126,0.2334,0.0521
1951,12.9869736042427,0.945213746228175,0.0295,0.0629369508527748,1.15991321478469,0.2201,0.0294
1952,14.2544494319404,1.04058067408896,0.0151,0.0529925416583181,0.976640090148273,0.1555,0.0151
1953,15.1840203710754,1.10650170505373,0.0094,0.0432803700727623,0.797647050070834,0.0837,0.0093
1954,16.2819864092536,1.18410981971481,0.0047,0.0415133907377817,0.765082036146185,0.067,0.0046
1955,17.4557542295893,1.26694995758826,0.0027,0.0316348508884601,0.583022868062099,0.0162,0.0026
1956,16.6856627582091,1.21080965015342,0.0042,0.0427348452437451,0.787593155663868,0.0722,0.0042
1957,16.0844744220248,1.17081026407919,0.0065,0.0532531138800061,0.981442374962623,0.1484,0.0065
1958,14.5224403446938,1.0570810126131,0.0152,0.0387856730145105,0.714810839487392,0.0623,0.0149
1959,14.4799843502479,1.05675362307348,0.0156,0.0352871558205169,0.650333989711857,0.0444,0.0148
1960,16.4963606549194,1.19908705904833,0.0043,0.0259584071484043,0.478407343829369,0.0063,0.003
1961,18.3614058678439,1.34499607674524,0.0012,0.0182887577614239,0.337057507903346,0.0002,0.0003
1962,20.3139313365973,1.50376462434321,0.0003,0.0217537333080127,0.400916192999098,0.0008,0.0003
1963,20.1594819008457,1.48563875622168,0.0003,0.0275581965565365,0.507891086689837,0.0048,0.0003
1964,19.6890780843493,1.44597649008827,0.0006,0.0273157131068671,0.503422173693145,0.0048,0.0005
1965,19.4867594038141,1.42181771938107,0.0004,0.0298757300930755,0.550602685175542,0.0105,0.0003
1966,18.7880935687952,1.37347635030739,0.0007,0.0246339566025905,0.453998031500084,0.0031,0.0005
