Year,CPUE_1,CPUE_2,CPUE_3
1948,88.20734609,NA,NA
1949,56.48903443,NA,NA
1950,51.55403441,NA,NA
1951,72.06033898,NA,NA
1952,95.55236189,NA,NA
1953,87.76060034,NA,NA
1954,95.69191041,NA,NA
1955,154.4651159,NA,NA
1956,91.69537843,NA,NA
1957,114.4027237,NA,NA
1958,64.561298,NA,NA
1959,55.65307657,NA,NA
1960,102.7778743,NA,NA
1961,114.9987221,NA,NA
1962,177.1825159,NA,NA
1963,125.8613253,NA,NA
1964,114.1661533,NA,NA
1965,120.525657,NA,NA
1966,120.6917425,NA,NA
1967,108.3650317,NA,NA
1968,99.21704444,NA,NA
1969,94.74917015,NA,NA
1970,81.02248384,NA,NA
1971,75.13771698,NA,NA
1972,88.43895675,NA,NA
1973,75.03977909,NA,NA
1974,81.9573122,NA,NA
1975,76.91456342,NA,NA
1976,51.4033427,NA,NA
1977,52.5876066,NA,NA
1978,82.96740401,NA,NA
1979,87.38467361,NA,NA
1980,69.77296484,NA,NA
1981,68.37182275,NA,NA
1982,59.29342836,NA,NA
1983,59.2485325,NA,NA
1984,48.49198524,NA,NA
1985,60.62059093,NA,NA
1986,64.9679915,NA,NA
1987,83.76251062,NA,NA
1988,80.23674964,NA,NA
1989,71.87075907,NA,NA
1990,64.68462942,NA,NA
1991,61.96633909,NA,NA
1992,66.83627481,NA,NA
1993,60.396957,NA,NA
1994,68.34920601,NA,NA
1995,68.00865958,NA,NA
1996,64.46197238,NA,NA
1997,65.49491482,NA,NA
1998,65.80292816,NA,NA
1999,65.14064131,NA,NA
2000,72.77218622,NA,NA
2001,72.67596235,NA,NA
2002,68.34707933,NA,NA
2003,61.69271612,8.245781032,NA
2004,NA,7.936373927,NA
2005,NA,8.844312294,NA
2006,NA,8.436728702,NA
2007,NA,8.555480526,NA
2008,NA,9.586167813,NA
2009,NA,9.05181685,NA
2010,NA,8.266947488,NA
2011,NA,9.41164315,NA
2012,NA,8.205306381,NA
2013,NA,8.098011111,NA
2014,NA,9.98986513,NA
2015,NA,12.59206757,NA
2016,NA,13.46853906,6845218.411
2017,NA,11.06958728,5852843.17
2018,NA,11.66436348,3765969.401
