Estimate Status,Year,Common Name,Fishing Mode,Total Harvest (A+B1),PSE,Harvest (A+B1) Total Weight (lb),PSE,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information,** Contribution of Imputed Data to Total Harvest Rate,** Contribution of Imputed Data to Total Harvest Rate,** Contribution of Imputed Data to Total Harvest Rate
FINAL,2003,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,333,99,"3,340",.,"1,515",.,0,0%,0%,0%
FINAL,2004,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,406,99.1,"3,316",.,"1,504",.,0,0%,0%,0%
FINAL,2005,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,"1,473",81.6,"7,670",.,"3,479",.,314,0%,0%,0%
FINAL,2007,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,"2,306",64.2,"4,458",.,"2,022",.,"1,632",0%,0%,0%
FINAL,2008,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,"1,072",72.4,0,.,0,.,"1,072",0%,0%,0%
FINAL,2009,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,335,70.8,"3,161",.,"1,434",.,174,0%,0%,0%
FINAL,2010,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,"1,342",72.3,"15,502",84.5,"7,032",84.5,0,0%,0%,0%
FINAL,2011,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,334,100.3,"7,836",100.1,"3,554",100.1,0,0%,0%,0%
FINAL,2012,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,"1,425",38,"5,498",25.1,"2,494",25.1,452,0%,0%,0%
FINAL,2013,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,"1,753",39.4,"9,842",.,"4,464",.,164,0%,0%,0%
FINAL,2014,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,"1,955",52.5,"6,496",.,"2,947",.,"1,629",0%,0%,0%
FINAL,2015,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,718,78.5,0,.,0,.,718,0%,0%,0%
FINAL,2016,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,91,100.2,602,.,273,.,0,0%,0%,0%
FINAL,2018,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,"1,901",52,"10,684",28.9,"4,846",28.9,611,0%,0%,0%
FINAL,2019,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,"3,299",36.6,"39,570",.,"17,949",.,"1,477",0%,0%,0%
FINAL,2020,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,"1,484",49.6,"28,721",50.6,"13,028",50.6,0,21%,41%,41%
FINAL,2003,LONGTAILED RED SNAPPER,PRIVATE/RENTAL BOAT,"13,878",47.3,"98,376",58.3,"44,623",58.3,0,0%,0%,0%
FINAL,2004,LONGTAILED RED SNAPPER,PRIVATE/RENTAL BOAT,"13,845",40.2,"56,733",37.4,"25,734",37.4,"3,179",0%,0%,0%
FINAL,2005,LONGTAILED RED SNAPPER,PRIVATE/RENTAL BOAT,"18,263",30.8,"93,410",28.3,"42,370",28.3,0,0%,0%,0%
FINAL,2006,LONGTAILED RED SNAPPER,PRIVATE/RENTAL BOAT,"29,913",42.2,"103,715",8,"47,045",8,"19,005",0%,0%,0%
FINAL,2007,LONGTAILED RED SNAPPER,PRIVATE/RENTAL BOAT,"7,482",46,"9,807",.,"4,448",.,"5,505",0%,0%,0%
FINAL,2008,LONGTAILED RED SNAPPER,PRIVATE/RENTAL BOAT,"7,984",41,"14,703",72.3,"6,669",72.3,"5,358",0%,0%,0%
FINAL,2009,LONGTAILED RED SNAPPER,PRIVATE/RENTAL BOAT,"4,359",45.9,"13,138",.,"5,959",.,"2,443",0%,0%,0%
FINAL,2010,LONGTAILED RED SNAPPER,PRIVATE/RENTAL BOAT,"19,992",46.1,"30,739",21.2,"13,943",21.2,"10,711",0%,0%,0%
FINAL,2011,LONGTAILED RED SNAPPER,PRIVATE/RENTAL BOAT,"7,607",38.2,"39,165",44.6,"17,765",44.6,0,0%,0%,0%
FINAL,2012,LONGTAILED RED SNAPPER,PRIVATE/RENTAL BOAT,"18,519",40,"68,353",61,"31,005",61,"9,557",0%,0%,0%
FINAL,2013,LONGTAILED RED SNAPPER,PRIVATE/RENTAL BOAT,"14,327",31.9,"44,500",52.8,"20,185",52.8,"5,193",0%,0%,0%
FINAL,2014,LONGTAILED RED SNAPPER,PRIVATE/RENTAL BOAT,"17,909",32.1,"155,846",41.5,"70,691",41.5,"5,881",0%,0%,0%
FINAL,2015,LONGTAILED RED SNAPPER,PRIVATE/RENTAL BOAT,"9,917",37.5,"58,418",48.7,"26,498",48.7,"1,625",0%,0%,0%
FINAL,2016,LONGTAILED RED SNAPPER,PRIVATE/RENTAL BOAT,"5,515",42.2,"12,299",57.1,"5,579",57.1,"3,910",0%,0%,0%
