Estimate Status,Year,Wave,Fishing Mode,Fishing Area,Angler Trips,PSE
FINAL,2003,JANUARY/FEBRUARY,SHORE,OCEAN (<= 3 MI),247004,17.1
FINAL,2003,JANUARY/FEBRUARY,SHORE,INLAND,99708,20.6
FINAL,2003,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),19718,28.4
FINAL,2003,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),34154,27.1
FINAL,2003,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,INLAND,1408,54.5
FINAL,2003,MARCH/APRIL,SHORE,OCEAN (<= 3 MI),113956,17
FINAL,2003,MARCH/APRIL,SHORE,INLAND,33517,22.7
FINAL,2003,MARCH/APRIL,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),21643,28
FINAL,2003,MARCH/APRIL,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),42943,26.7
FINAL,2003,MARCH/APRIL,PRIVATE/RENTAL BOAT,INLAND,3779,38.5
FINAL,2003,MAY/JUNE,SHORE,OCEAN (<= 3 MI),237977,18
FINAL,2003,MAY/JUNE,SHORE,INLAND,87116,21.7
FINAL,2003,MAY/JUNE,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),27721,24.1
FINAL,2003,MAY/JUNE,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),63672,22.3
FINAL,2003,MAY/JUNE,PRIVATE/RENTAL BOAT,INLAND,3032,42.3
FINAL,2003,JULY/AUGUST,SHORE,OCEAN (<= 3 MI),300815,14.3
FINAL,2003,JULY/AUGUST,SHORE,INLAND,67315,21
FINAL,2003,JULY/AUGUST,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),22097,26.5
FINAL,2003,JULY/AUGUST,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),63242,24.4
FINAL,2003,JULY/AUGUST,PRIVATE/RENTAL BOAT,INLAND,6858,32.6
FINAL,2003,SEPTEMBER/OCTOBER,SHORE,OCEAN (<= 3 MI),349322,15.8
FINAL,2003,SEPTEMBER/OCTOBER,SHORE,INLAND,53369,25
FINAL,2003,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),22273,20.1
FINAL,2003,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),39918,18.7
FINAL,2003,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,INLAND,3182,34
FINAL,2003,NOVEMBER/DECEMBER,SHORE,OCEAN (<= 3 MI),250547,18.7
FINAL,2003,NOVEMBER/DECEMBER,SHORE,INLAND,52197,27.1
FINAL,2003,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),41162,26.4
FINAL,2003,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),86183,23.3
FINAL,2003,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,INLAND,6432,48
FINAL,2004,JANUARY/FEBRUARY,SHORE,OCEAN (<= 3 MI),216530,14.7
FINAL,2004,JANUARY/FEBRUARY,SHORE,INLAND,39513,23.2
FINAL,2004,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),22510,18.9
FINAL,2004,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),37619,17.4
FINAL,2004,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,INLAND,2775,36.1
FINAL,2004,MARCH/APRIL,SHORE,OCEAN (<= 3 MI),324000,17.5
FINAL,2004,MARCH/APRIL,SHORE,INLAND,69882,21.9
FINAL,2004,MARCH/APRIL,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),29140,24.8
FINAL,2004,MARCH/APRIL,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),55630,23
FINAL,2004,MARCH/APRIL,PRIVATE/RENTAL BOAT,INLAND,530,99.7
FINAL,2004,MAY/JUNE,SHORE,OCEAN (<= 3 MI),314421,18.5
FINAL,2004,MAY/JUNE,SHORE,INLAND,87745,22.1
FINAL,2004,MAY/JUNE,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),56595,22.9
FINAL,2004,MAY/JUNE,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),94619,21.6
FINAL,2004,MAY/JUNE,PRIVATE/RENTAL BOAT,INLAND,6190,41.8
FINAL,2004,JULY/AUGUST,SHORE,OCEAN (<= 3 MI),304932,18.2
FINAL,2004,JULY/AUGUST,SHORE,INLAND,144062,20.4
FINAL,2004,JULY/AUGUST,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),51824,27
FINAL,2004,JULY/AUGUST,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),112618,25.1
FINAL,2004,JULY/AUGUST,PRIVATE/RENTAL BOAT,INLAND,6976,43.5
FINAL,2004,SEPTEMBER/OCTOBER,SHORE,OCEAN (<= 3 MI),243761,16.9
FINAL,2004,SEPTEMBER/OCTOBER,SHORE,INLAND,98198,18.8
FINAL,2004,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),54326,34.1
FINAL,2004,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),78060,33.7
FINAL,2004,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,INLAND,1582,63.6
FINAL,2004,NOVEMBER/DECEMBER,SHORE,OCEAN (<= 3 MI),233052,15
FINAL,2004,NOVEMBER/DECEMBER,SHORE,INLAND,85970,17.3
FINAL,2004,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),40242,28.6
